Model,Price,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69
DW2300-1,399,89,4,3,2,2,3,2,0,2,4
DW2300-2,399,96,1,2,1,2,0,2,2,1,2
DW2300-3,349,92,1,3,0,1,1,2,1,1,1
DW2300-4,349,0,1,0,0,3,1,2,2,0,1
DW2400-2,599,0,3,0,2,1,1,1,1,3,2
DW2400-3,569,1,1,2,3,1,2,0,2,1,1
SW2400-1,789,3,2,0,3,4,3,4,0,4,5
SW2400-2,769,1,0,1,1,1,1,0,0,3,3
SW2400-3,769,2,0,2,0,1,1,1,1,5,2
SW2400-4,729,1,1,3,0,1,1,1,1,0,0
SW2500-1,845,4,3,4,2,2,3,2,4,1,1
SW2500-2,845,3,3,2,2,0,2,2,1,4,3
SW2500-3,845,1,3,0,2,1,1,2,1,2,2
SW2500-4,825,0,3,0,2,1,1,2,1,0,1
